Requirement,Name of Doc,Req/Not Req,Req/Not Req
The tool should be robust and ease of use.  (Takes little time to manage the tool). ,Tool Requirements,1,yes
Generate document (process guide) from process diagrams in a customizable format.  ,Tool Requirements,1,yes
"Both images and data
Standard process role names should be populated in a drop down menu to maintain name consistency across processes.  ",Tool Requirements,1,yes
"So when a role name changes in one process, it will change the name if it appears in other processes.",Tool Requirements,1,yes
"The tool should provide import/export/integration capabilities to common Microsoft tools (i.e. Excel, Word, SharePoint, etc.)",Tool Requirements,1,yes
"The solution shall provide the capability to develop interactive process maps (flows) that link to task descriptions, enablers and best practice examples of deliverables",Tool Requirements,1,yes
The tool should show multiple options for modelling and should conform to multiple modelling standards that can be customized to fit our need,Tool Requirements,1,yes
"Maintain consistency of relationships while drilling up or down depending on what level you are at, without having to rebuild any of the pieces.",Tool Requirements,1,yes
The tool should have drill down capabilities,Tool Requirements,1,yes
The software needs to be configurable to meet our needs. ,Tool Requirements,1,yes
The solution shall provide both guided and comprehensive free text search capabilities,Tool Requirements,1,yes
"There should be a feature to send warnings for missing integration links between defined processes ""(i.e. as we tie models together and there is a missing link, it  would provide a warning)",Tool Requirements,1,yes
The tool should identify/keep track of relationships between processes so that consistency in process integration touch points can be maintained.  ,Tool Requirements,1,yes
The tool should provide Spell check,Tool Requirements,1,yes
The tool should provide a means of generating RACI charts. ,Tool Requirements,1,yes
"The tool should provide a means of linking to documents outside of tool (i. e. SharePoint, etc.)",Tool Requirements,1,yes
The tool should allow for identifying/managing standardized KPI's,Tool Requirements,1,yes
"The solution shall provide a single source for access for all IT practioners to all sanctioned IT Services methods, covering guidance on processes, the roles that undertake those processes, process interactions, and enablers",Tool Requirements,1,yes
The tool should have the ability to create a centralized repository,Tool Requirements,1,yes
"The tool should be able to create libraries for Org, KPI, Activities, tools, roles, information, dat",Tool Requirements,1,yes
The tool should be able to interface out to artefacts and embed artefacts,Tool Requirements,1,yes
The tools should have the ability to elicit requirements The tool should have the ability to generate process reports,Tool Requirements,1,yes
The tool should have the ability to create simulation processes and reports. ,Tool Requirements,1,yes
"The solutions will provide a robust, sandpit area for Process analyst to work i",Tool Requirements,1,yes
"The tool should have the ability to create workspace areas e.g. – WIP,Quality Review, Go Live, Live",Tool Requirements,1,yes
"The solution should allow the Process Analyst to be able to model at different levels 
The tools should have the ability to view the models for different studies.",Tool Requirements,1,yes
The tool should have the ability to integrate models,Tool Requirements,1,yes
