doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,annotator1_conflict,annotator2_conflict,conflict_type,notes
0000 - gamma j,0,1,This  software will contain all of the basic needs to manage an online store.,The Web Store will be a  quick and easy means to setup and operate an online Web Store.,0.679,,,,
0000 - gamma j,2,11,When creating a new account on Web Store it will default as a  customer account.,"Customers will be  able to register, log in, and log out of their accounts.",0.507,,,,
0000 - gamma j,4,5,"2.4 Operating Environment  OE-1: Web Store shall operate with the following internet browsers: Microsoft Internet  Explorer version 6 and 7, Netscape Communicator Version 4 and 5.",OE-2:  Web Store shall operate on an Intel based system with Slackware Linux 2.6 and  Apache Web Server.,0.574,,,,
0000 - gamma j,4,26,"2.4 Operating Environment  OE-1: Web Store shall operate with the following internet browsers: Microsoft Internet  Explorer version 6 and 7, Netscape Communicator Version 4 and 5.","The interface will be compatible with all major web browsers such as  Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari.",0.521,,,,
0000 - gamma j,6,14,OE-3:  The system shall use SQL based database to store inventory information.,"The inventory management will allow for administrators to update the  categories, the products placed in categories, and the specific product details.",0.505,,,,
0000 - gamma j,8,11,"System Features  3.1 Customer Accounts  3.1.1 Description And Priority  Customers will be able to create accounts to store their profiles, contact information,  purchase history, and confirm orders.","Customers will be  able to register, log in, and log out of their accounts.",0.548,,,,
0000 - gamma j,8,12,"System Features  3.1 Customer Accounts  3.1.1 Description And Priority  Customers will be able to create accounts to store their profiles, contact information,  purchase history, and confirm orders.","Furthermore, Customer profiles will  also include payment information, such as the ability to store credit card information,  and address information.",0.545,,,,
0000 - gamma j,8,15,"System Features  3.1 Customer Accounts  3.1.1 Description And Priority  Customers will be able to create accounts to store their profiles, contact information,  purchase history, and confirm orders.",3.3 Shopping Cart  3.3.1 Description And Priority  Customers will be able to add and store products for purchase within the shopping cart.,0.574,,,,
0000 - gamma j,9,11,Security  methods will ensure that customer accounts remain confidential and resistant to  tampering.,"Customers will be  able to register, log in, and log out of their accounts.",0.520,,,,
0000 - gamma j,9,42,Security  methods will ensure that customer accounts remain confidential and resistant to  tampering.,5.3 Security Requirements  • The system shall validate credit cards against fraud.,0.505,,,,
0000 - gamma j,9,44,Security  methods will ensure that customer accounts remain confidential and resistant to  tampering.,• The system shall encrypt all customer data in database.,0.534,,,,
0000 - gamma j,10,16,3.1.2 Stimulus/Response Sequences  • Web Browser initiates request to Web Server via HTTPS   • Web Server parses request  • Web Server submits request to Service  • Service picks up request  • Service,GAMMA-J Web Store   8   3.3.2 Stimulus/Response Sequences  Same as 3.1.2  3.3.3 Functional Requirements  Customers will also be able to add products into the shopping cart.,0.624,,,,
0000 - gamma j,10,20,3.1.2 Stimulus/Response Sequences  • Web Browser initiates request to Web Server via HTTPS   • Web Server parses request  • Web Server submits request to Service  • Service picks up request  • Service,3.4.2 Stimulus/Response Sequences  Same as 3.1.2  3.4.3 Functional Requirements  Customers will be able to confirm the order after checkout.,0.637,,,,
0000 - gamma j,10,24,3.1.2 Stimulus/Response Sequences  • Web Browser initiates request to Web Server via HTTPS   • Web Server parses request  • Web Server submits request to Service  • Service picks up request  • Service,3.5.2 Stimulus/Response Sequences  Same as 3.1.2  3.5.3 Functional Requirements  Customers will be presented with an unambiguous interface to assist in browsing the  categories and products.,0.665,,,,
0000 - gamma j,10,69,3.1.2 Stimulus/Response Sequences  • Web Browser initiates request to Web Server via HTTPS   • Web Server parses request  • Web Server submits request to Service  • Service picks up request  • Service,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the web order system via a web browser with HTTPS.,0.519,,,,
0000 - gamma j,11,12,"Customers will be  able to register, log in, and log out of their accounts.","Furthermore, Customer profiles will  also include payment information, such as the ability to store credit card information,  and address information.",0.515,,,,
0000 - gamma j,11,18,"Customers will be  able to register, log in, and log out of their accounts.",The customer  will also be able to add to or remove products from the shopping cart prior to checkout  and order confirmation.,0.507,,,,
0000 - gamma j,11,33,"Customers will be  able to register, log in, and log out of their accounts.",• The system shall be able to handle 1000 customers logged in concurrently at the  same time.,0.571,,,,
0000 - gamma j,11,73,"Customers will be  able to register, log in, and log out of their accounts.",Customer must be logged-in on the system.,0.581,,,,
0000 - gamma j,11,94,"Customers will be  able to register, log in, and log out of their accounts.",Customer must be logged-in on the system.,0.581,,,,
