brd_id,section,sentence,citation_count,source_type,cited_snippet_ids,annotator1_verdict,annotator1_notes,snippet_1,snippet_2,snippet_3
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-001: The system shall provide the last change of hands date for Chelsea Villa.,1,email,['mpcTSsBVpL2E1qZZAM8H'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"com>
To: ""Phillip Allen"" <pallen@enron. com>
cc: ""Larry Lewter"" <retwell@mail. sanmar

Subject: Re: Chelsea Villas
Jeff,

 I received the rent roll.   I am going to be in San Marcos this weekend but I 
am booked with stage coach.   I will drive by Friday evening. 
 I will let you know next week if I need to see the inside.   Can you find out 
when Chelsea Villa last changed hands and for what price? 

 What about get

Subject: Westgate Proforma-Phillip Allen. xls
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000 
12:28 PM ---------------------------


""George Richards"" <cbpres@austin. rr. com> on 09/08/2000 05:21:49 AM
Please respond to <cbpres@austin. rr. com>
To: ""Phillip Allen"" <pallen@enron. com>
cc: ""Larry Lewter"" <retwell@mail.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-002: The system shall provide the last change of hands price for Chelsea Villa.,1,email,['mpcTSsBVpL2E1qZZAM8H'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"com>
To: ""Phillip Allen"" <pallen@enron. com>
cc: ""Larry Lewter"" <retwell@mail. sanmar

Subject: Re: Chelsea Villas
Jeff,

 I received the rent roll.   I am going to be in San Marcos this weekend but I 
am booked with stage coach.   I will drive by Friday evening. 
 I will let you know next week if I need to see the inside.   Can you find out 
when Chelsea Villa last changed hands and for what price? 

 What about get

Subject: Westgate Proforma-Phillip Allen. xls
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000 
12:28 PM ---------------------------


""George Richards"" <cbpres@austin. rr. com> on 09/08/2000 05:21:49 AM
Please respond to <cbpres@austin. rr. com>
To: ""Phillip Allen"" <pallen@enron. com>
cc: ""Larry Lewter"" <retwell@mail.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-003: The system shall provide a rent roll.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-004: The system shall identify missed rent for specific units.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-005: The system shall provide reasons for identified missed rent.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-006: The system shall identify vacant units.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-007: The system shall allow running advertisements with specified discounts.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-008: The system shall provide the base salaries for specified individuals.,1,email,['nEJ26kQVIAx0uuXrcNgw'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"One point that is unclear is they claim that the $15

Subject: 
Lucy,

Here is the rentroll. 

My only questions are about #18, #25, and #37 missed rent.   Any special 
reasons? 

It looks like there are five vacancies #2,12,20a,35,40.   If you want to run 
an ad in the paper with a $50 discount that is fine. 
I will write you a letter of recommendation.   When do you

Subject: Re: Confidential Employee Information/Lenhart
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.   
They are doing the same job as Matt. 

Subject: Behind the Stage Two
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 
02:22 PM ---------------------------


""Arthur O'Donnell"" <aod@newsdata. com> on 03/15/2001 11:35:55 AM
Please respond to aod@newsdata.",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-009: The system shall display pictures of house designs.,1,email,['NA37nO6al8PCMIFIZU7l'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"Allen@enron. com
cc:  
Subject: Nondeliverable mail


------Transcript of session follows -------
scsatkfa@caprock. net
The

Subject: 
Cary,

Here is the picture of the house I have in mind.   I was going for a simple 
farmhouse style to  place on 5 acres near Wimberley.   

A few points that might not be obvious from the plans are:

There will be a double porch across the back just like the front
No dormers (Metal roof)
1/2 bath und

Subject: 
Reagan,

Thank you for the quick response on the bid for the residence.   Below is a 
list of questions on the specs:

1.   Is the framing Lumber #2 yellow pine?   Wouldn't fir or spruce warp less 
and cost about the same? 

2.   What type of floor joist would be used?",,
7pr9rpwHRmu27bdWS1VE,functionalReqs,FR-010: The system shall provide view-only IDs for specified publications that post monthly indices.,1,email,['WUqCyHcONyINH1mwYeS7'],SUPPORTS,Auto-annotated with 1 source(s) from Firestore,"I need to provide view only ID's to the two major 
publications that post the monthly indeces.   Please email an id and password 
to the following:

Dexter Steis at Natural Gas Intelligence- dexter@intelligencepress. com

Liane Kucher at Inside Ferc-  lkuch@mh. com

Bidwee

Subject: 
Johnnie,

Thank you for meeting with me on Friday.   I left feeling very optimistic 
about the panel system.   I would like to find a way to incorporate the panels 
into the home design I showed you.   In order to make it feasible within my 
budget I am sure it will take several iterations.   The prospe

Subject: Re: FW: 2nd lien info.  and private lien info - The Stage Coach Apartments, Phillip Allen
How am I to send them the money for the silent second?   Regular mail, 
overnight, wire transfer?",,
