doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
0000 - gamma j,74,93,Customer must have item(s) in the shopping cart.,Add Item To Cart    Goal:  Customer adds item(s) in the cart    Actors:  Customer  System    Preconditions:   The customer must be logged-in on the system.,0.627,NO,NONE,Confidence: 0.90 | Requirement A states a mandatory condition or desired system state: 'Customer must have item(s) in t
0000 - gamma j,86,90,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer account must already be registered.,0.745,NO,NONE,Confidence: 1.00 | Requirement A specifies a precondition for a 'Sales Person' related to the technical access method (
0000 - gamma j,84,88,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person account must already be registered.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,0.808,NO,NONE,Confidence: 1.00 | Requirement A states that a Sales Person's account must be registered. Requirement B states that a S
0000 - gamma j,80,81,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.883,YES,OVERLAP,Confidence: 1.00 | Both requirements describe the exact same precondition: 'Administrator must be able to access the we
0000 - gamma j,88,89,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the weborder system via a web browser with HTTPS.,0.947,NO,NONE,Confidence: 1.00 | Requirement A specifies a precondition for 'Sales Persons' to access the weborder system via HTTPS. 
2001 - beyond,57,61,"If the au tomation thinks that for the current  situation a different pres entation may be more efficient, it may suggest an  adaptation that has to be agreed upon by the pilot.","In the case of self-adaptat ion, the pilot shall always be offered the  opportunity to overrule the adaptation.",0.597,NO,NONE,Confidence: 1.00 | Requirement A states that any suggested adaptation from automation 'has to be agreed upon by the pil
2001 - beyond,57,67,"If the au tomation thinks that for the current  situation a different pres entation may be more efficient, it may suggest an  adaptation that has to be agreed upon by the pilot.","Special interest will be given to the af orementioned issue that the adaptation should  leave the pilot in command, and should  be non-intrusive.",0.748,YES,OVERLAP,Confidence: 0.90 | Requirement A states that an adaptation suggested by the automation 'has to be agreed upon by the pi
2001 - beyond,31,33,For the User Interface Editor:  • The UI Editor should allow flexible creati on and modification of the user interface  of the Vetronics application.,"• The UI Editor should be ab le to communicate with the Vetronics hardware, to  download the developed UI to the Vetr onics system for real use.",0.756,NO,NONE,Confidence: 1.00 | Requirement A focuses on the UI Editor's capability for creating and modifying user interfaces (desi
2001 - beyond,28,39,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to inte rprete and visualize the UI code generated by the UI Editor; so  a very important component in this,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to interpret and visualize t he UI code generated by the UI Editor).,0.927,YES,OVERLAP,Confidence: 1.00 | Both Requirement A and Requirement B specify the exact same core constraint: that the software struc
2001 - elsfork,24,25,Ti me stamped data shall be stamped with ‘last  updated date + time’ (UTC time).,The accuracy and resolution of the timestamp should be  at least 10 ms.,0.523,NO,NONE,"Confidence: 1.00 | Requirement A defines the *content* and *timezone* of the timestamp ('last updated date + time', UTC"
