brd_id,source_type,source_label,section,brd_sentence,source_snippet_1,source_snippet_2,annotator1_verdict,annotator1_notes,annotator2_verdict,annotator2_notes
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,Each employee receives a home computer through the ClickAtHome program .,"With that in mind, we are excited to let you know that we are introducing t=
he=20
ClickAtHome
program, which will give each employee a computer for use at home.  Where=20
technology permits, we will also subsidize an Internet connection.  With the=
=20
click of a mouse, a home computer plus Internet access will put a world of=
=20
Internet knowledge at your family=01,s fingertips.  =20

We have just signed an agreement with Dell Computer Corporation to provide=
=20
the computer hardware.  We wanted to let you know about the program now in=
=20
case you and your family were considering the purchase or upgrade of a home=
=20
computer or Internet connection in the next few months.  The scope of=20
ClickAtHome includes the following:

?",,SUPPORTS,Snippet directly introduces the ClickAtHome program and states it gives each employee a home computer.,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,A comprehensive electricity trading decision support system based on market fundamentals is built .,"Use advanced statistical analysis software, such as S-Plus, to perform 
exploratory data analysis on topical trading issues, including supply and 
demand anomalies and price movement. 
Build a comprehensive electricity trading decision support system based on 
market fundamentals. 

Settlements
This group is responsible for settling physical wholesale transactions with 
the California ISO and the California PX.   The group's primary function is to 
estimate revenues and expenses based on scheduled volumes, settle with the 
ISO based on actual volumes, and provide the accounting support to reconcile 
differences between scheduled and actual volumes.",,SUPPORTS,Snippet contains the exact phrase 'Build a comprehensive electricity trading decision support system based on market fundamentals.',,
WTlK8oZueIr7dJzUAYQC,email,hayslett-r_projects,nfrReqs,The system should aim to achieve an estimated savings of 20% on travel costs.,"ClickTrip provides employees easy access to all travel and pricing options for their destination (excluding proprietary carriers) and assists employees in making the most cost-effective travel decisions by providing the most current information.   In addition to bringing an estimated savings of 20%, ClickTrip is easy to use and is accessible 24 hours a day from any internet-enabled personal computer.   After-hours telephone support is also available. 

When making travel reservations, please purchase non-refundable coach tickets when flying in the U. S. , for these tickets can cost up to 65% less than refundable tickets and can usually be changed, if necessary, for a $100 fee. 

?",,PARTIALLY,"Snippet mentions the 20% savings figure but frames it as ClickTrip's benefit, not a system requirement/goal. BRD frames it as a system aim/requirement.",,
migINRc0FZrlbIta1QQ9,email,beck-s_sap,assumptions,The Aug 29-31 offsite meeting will primarily focus on financials and procurement.,"Melissa Becker
08/01/2000 01:40 PM
cc: Elise Clark/Corp/Enron@ENRON, Mark Frank/HOU/ECT@ECT 

I am happy to report that, because so many people wanted to bring a ""first 
lieutenant"", Rick and Cindy have agreed to put the primary focus of the Aug 
29-31 offsite on financials and procurement, with enough HR representation to 
cover some of the broad strategic issues that cross multiple functional 
areas.   

Consequently, Elise and Mike will be able to attend.   More information on 
logistics to follow within two weeks.   We will block off hotel rooms, etc.  in 
the meantime.   

As with the last ASE, it's an ""all or nothing"" proposition.   Because of the 
structure of the event, participants must be there from start to finish (no 
partial attendance).",,SUPPORTS,Snippet explicitly states the primary focus of the Aug 29-31 offsite was on financials and procurement.,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,functionalReqs,"The system shall allow Business Units to peruse qualifications (resumes, career histories).",")

For the Business Units:
Search for Associate&Analyst talent using the Manager Toolbox
Peruse qualifications  (resumes, career histories)
Create and view rotation requests for your group
Learn about A&A Program events and activities
Participate in knowledge management events (eThink)

We hope that everyone will utilize this outstanding website because it was 
designed with both groups in mind.   We want the A&A members to know what is 
available for them with regard to business unit news and rotation 
information; and we want the business units to find the best match for their 
professional needs.   Check out all the features and help evaluate the 
content.   Let the Associate & Analyst Department know what you think and 
offer any ideas or suggestions.   Your input will be invaluable.",,SUPPORTS,"Snippet lists 'Peruse qualifications (resumes, career histories)' as an explicit feature for Business Units.",,
f6QerxfeOUtmrqanfbUg,email,lokay-m_systems,nfrReqs,The system must support the firstname.lastname@enron.com Internet Email address format.,"We will communicate further details, including the cut-off date, in the coming weeks.  Meanwhile, it is imperative that you begin making the necessary arrangements to change over to using the firstname. lastname@enron. com Internet Email address format.  If you have questions regarding this email, send an Email to enron. messaging. administration@enron. com. 
Thank you for participation, cooperation and support.  
Enron Messaging Administration

This is a reminder of Enron's Email retention policy.   The Email retention policy provides as follows:

Message Location - Maximum Retention
Inbox - 30 days
Sent Mail Folder - 30 days
Trash/Deleted Items - Rollover from Inbox for one day
Folders - All Email messages placed in folders will be destroyed after one calendar year.",,SUPPORTS,Snippet directly instructs use of the firstname.lastname@enron.com Internet Email address format.,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,"New business models, patterned after successful models in Calgary and Portland, achieve comparable success .","With these objectives in mind, patterned after the successful business mode=
ls=20
in Calgary and Portland, effective immediately the following changes are=20
being implemented:
a) East Power =01) a single East Power Team incorporating trading, mid-mark=
et=20
and origination will be formed under the co-leadership of Kevin Presto and=
=20
Janet Dietrich who will report to the Enron Americas - Office of the Chairm=
an=20
(EA OOC).   This team will have one income statement, one book and a joint=
=20
accountability.  However, a clear delineation of responsibilities inside the=
se=20
teams will continue to exist in which the trading organization will manage=
=20
the risk, income statement and product development aspects of the=20
partnership.",,PARTIALLY,Snippet says changes are 'patterned after the successful business models in Calgary and Portland' but doesn't assert that the new models 'achieve comparable success' — that outcome is an inference not in the source.,,
migINRc0FZrlbIta1QQ9,email,beck-s_sap,assumptions,"Netting processes will be performed within SAP, not Unify, and automatic netting entries will be retained within SAP.","Our understanding of the netting process in SAP indicates that there are no 
controls (which sounds good at this point) and that we would retain the 
automatic netting entries when the payable is netted with the receivable 
within SAP.   However, we emphasize that netting would be done in SAP, not at 
the time of finaling a payment in Unify. 

To repeat, we are recommending that Unify AR be turned off and we convert to 
SAP AR.   We will schedule a meeting the week of February 22 to discuss.   
Please call me at X33179 with any questions or comments.   We WILL make this 
decision by February 28 because the SAP timeline does not allow any 
additional time for consideration.",,SUPPORTS,"Snippet explicitly states netting would be done in SAP, not Unify, and that automatic netting entries would be retained within SAP.",,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,Originators successfully generate new business .,"However, a clear delineation of responsibilities inside the=
se=20
teams will continue to exist in which the trading organization will manage=
=20
the risk, income statement and product development aspects of the=20
partnership.  The originators will have the primary responsibility to genera=
te=20
origination income, provide coverage, deal flow, lead strategy formulation,=
=20
provide information and generate strategic positions.  Overall, the team wil=
l=20
be rewarded based upon increasing the value of the book, meeting=20
coverage/deal flow targets and meeting its strategic/growth goals in the=20
Eastern, Western, Central and Texas gas markets.   The team will be=20
responsible for covering the LDC=01,s, muni=01,s/co-ops, industrials, IOU=
=01,s, IPP=01,s=20
and the producers.",,PARTIALLY,"Snippet describes originators' responsibilities (generate origination income, deal flow, etc.), but 'successfully generate new business' frames this as an achieved outcome/metric rather than a stated responsibility.",,
WTlK8oZueIr7dJzUAYQC,email,hayslett-r_projects,nfrReqs,The system must allow access to Enron Email via Outlook Web Access (OWA) through the Internet without requiring users to dial into Enron's network.,"This means that if you can get on to the Internet, you can access your Enron Email with Outlook Web Access (OWA) without having to dial in to Enron's network.  Please note that this is not available to those users still on Lotus Notes but will be available once they are migrated to Outlook.  
Once on the Internet, type mail. enron. com in your browser address window and supply your Enron network logon credentials as username and password.  For example:
Username: jdoe4
Password: ********
Once you log in, Outlook Web Access opens your Enron Email mailbox.  Outlook Web Access (OWA) allows you to send and receive mail, perform calendar tasks and manage your mail and contacts, as well as access your mailbox folders.  At this time, Public Folders are not accessible via OWA.",,SUPPORTS,Snippet directly states that internet access allows Enron Email via OWA without dialing into Enron's network.,,
