pair_id,doc_id,req_i_idx,req_j_idx,requirement_A,requirement_B,cosine_sim,annotator1_label,annotator2_label,annotator2_notes
P001,2002 - sce api,10,37,These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,Multi-Clock Alignment 4.1.5SceMiClockControl  Macro For every SceMiClockPort  macro instance there must be at least one counterpart SceMiClockControl   macro instance presumably encapsulated in a tran,0.824,OVERLAP,OVERLAP,
P002,2004 - watcom gui,10,20,"Whe n ported, this function should make a ca ll of gtk_window_new() , and apply parameters passe d in  info .","In GTK port, the function should cal l gtk_widget_destroy()  for the given window  or for the top- level windo w if NULL.",0.584,NO_CONFLICT,NO_CONFLICT,
P003,2005 - clarus low,213,219,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,0.792,OVERLAP,OVERLAP,
P004,2005 - clarus low,65,419,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.644,OVERLAP,OVERLAP,
P005,2003 - pnnl,91,183,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,The set of primary CHW pump should not operate unless at least one of the secondary CHW pumps served by this set of primary CHW pumps is on.,0.741,CONTRADICTION,CONTRADICTION,
P006,2001 - elsfork,16,58,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be ava ilable for display on operator HMI as well as for  storage (databases).,0.826,OVERLAP,OVERLAP,
P007,2005 - clarus low,65,78,"H-120 The Clarus  system shall acquire,  process, and disseminate environmental metadata.",H  F-100D1 CS shall collect environmental  data based on its configured schedule.,0.563,OVERLAP,OVERLAP,
P008,2005 - clarus low,175,416,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.531,NO_CONFLICT,NO_CONFLICT,
P009,2005 - clarus low,54,220,"OCS QChS,  CAUI, QEDC   H  F-111C1 The CAUI shall enable a quality  manager to apply manual flags to a set of observations from an individual ESS.",OCS QEDS    H  D-061J1 QEDS shall disseminate  data in response to an immediate environmental data request.,0.517,NO_CONFLICT,NO_CONFLICT,
P010,2001 - beyond,28,39,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to inte rprete and visualize the UI code generated by the UI Editor; so  a very important component in this,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to interpret and visualize t he UI code generated by the UI Editor).,0.927,OVERLAP,OVERLAP,
P011,2005 - clarus low,98,138,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,0.696,CONTRADICTION,CONTRADICTION,
P012,2010 - split merge,11,12,"[FILENUMBER13] will  generate prefi xes like '13', '14'...) .","[FILENUMBER###13] will generate prefixes like '013', '014'...).",0.757,CONTRADICTION,NO_CONFLICT,
P013,2006 - eirene sys 15,65,169,(M)  Send Railway emergency call   5.3.5 Activation of the ‘Railway emergency call’ function shall cause the radio to initiate a  Railway emergency call as defined in section 13.,(M)  Send/receive Railway emergency call  7.3.6 Activation of the ‘Railway emergency call’ function shall cause the radio to initiate a  Railway emergency call as defined in section 13.,0.967,OVERLAP,OVERLAP,
P014,2003 - pnnl,96,105,"Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag","Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag",0.766,OVERLAP,OVERLAP,
P015,2003 - pnnl,83,91,Secondary  chilled water pumps should  only operate when the  primary CHW pump is  operating.,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,1,OVERLAP,OVERLAP,
P016,2001 - elsfork,16,65,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be available for display on operator HMI as well as for stor- age (databases).,0.792,OVERLAP,OVERLAP,
