brd_id,project_id,source_type,source_label,section,sentence,citation_count,cited_snippet_ids,has_citation
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Assumptions

The corporate messaging platform will be Microsoft Outlook 2000, replacing Lotus Notes for all email functions worldwide.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"After the Outlook conversion, desktop access to Notes databases will be removed, requiring all Notes databases to be web-enabled.",1,['9I9UdlPCnt13AxyOSjwN'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Mailbox size limits will be enforced in the new email environment, requiring users to perform data housekeeping.",1,['Vj54gaWreNMAbB8f057f'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"All Enron employees will transition to and use the firstname.lastname@enron.com Internet Email address format. , 
Important documents should be stored in network directories, not the email system, and network directories are regularly backed up.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Email messages older than 30 days, if needing to be retained, must be moved from the 'Sent' folder.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Network drive letter mappings are established and will be maintained for personal, service, and shared data files.",1,['41NX4so7LlmKH4k3m5iP'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,Business Query software requires local installation on each PC.,1,['Fb46VFuSNvnrdjbQGIWX'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,The capability to send documents from Envision to customers via email is a current area of investigation.,1,['HrflWqfMpAJy2hgs5K3s'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Remote connectivity to the Enron network has changed, and users are aware of these changes.",1,['Ditvla2ewq1LkNulmGWn'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,All content and applications from the current ETS website (www.ots.enron.com) will be migrated to the new ETS Intranet by the end of the 2nd quarter.,1,['Woq6qnpKUybFmNT4M5KF'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,All expense reports and miscellaneous vendor invoices will require SAP coding.,1,['xtNY5ZjjXW6oWlFxJlH2'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,All computing resources and work products are Enron property and subject to review and control.,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,Users are responsible for appropriate use.,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Telephony system upgrades will occur, causing a complete outage, and all telephony requirements must be submitted by February 7th.",1,['906JrrGu0sdNEjwGbdU9'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Human Resource servers will be relocated on February 2nd from 5:00 p.m. to 8:00 p.m., potentially impacting related services.",1,['J8uLThkTcLQYy1G3l3GZ'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"Network interruptions will occur on February 5th from 10:30 p.m. to 11:00 p.m. due to network configuration modifications, causing temporary computer disconnection.",1,['BUcY4xfZmdprB0WWtSvL'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"The EOL Production Databases will be unavailable during facility power upgrades, requiring all processing to be completed by 5:00 pm on the day of the upgrade.",1,['Lvdyz19P6y7KdkkgfgyA'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,"An upgrade to the EOL UUNET network connection (from 12Mbps to 27Mbps) will occur, with minimal impact on most EOL users as it is not the primary link.",1,['xhfeekT6gg49PBVh3GVT'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,assumptions,User migration activities for applications are scheduled for February 21st at 4:45 PM and require network connectivity.,1,['goWfZ2abDrvHmRDKgmQR'],True
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,functionalReqs,"Functional Requirements

1.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,functionalReqs,"The messaging platform shall be Microsoft Outlook 2000, providing all email functions. 
2.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,functionalReqs,"All Notes databases shall be web-enabled. 
3.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,functionalReqs,"The Envision system shall support sending documents to customers via Email. 
4.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,functionalReqs,The email system shall provide functionality for users to move sent messages from the email system for retention.,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Stakeholder Register

1.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"All Enron Employees/Users
   Role/Interest: Primary users of Enron's IT infrastructure and services.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,Key Concerns/Impacts: Will experience a complete telephony outage due to Lucent system upgrade .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,Will be disconnected from the main network for short periods due to network configuration changes .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Required to change Internet Email address format to firstname.lastname@enron.com , .",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Will migrate from Lotus Notes to Microsoft Outlook 2000 for all email functions , .",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,Advised to perform data housekeeping due to new mailbox size limits .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Must run specific migration applications at scheduled times, ensuring network connection .",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Must save important documents to network directories, not email, as a backup measure .",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,Need to use SAP coding for expense reports and vendor invoices .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,Responsible for appropriate use of Enron computing resources .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,May be impacted by EOL UUNET network connection upgrades .,0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Kpowers is an example user with personal files .

2.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Telephony Services Team
   Role/Interest: IT department responsible for telephony infrastructure.",0,[],False
f6QerxfeOUtmrqanfbUg,exp3-email-lokay-m_systems,email,lokay-m_systems,stakeholderRegister,"Key Concerns/Impacts: Upgrading the Lucent system to prepare for the new Enron building, which will cause a complete outage .",0,[],False
