brd_id,source_type,source_label,section,brd_sentence,source_snippet_1,source_snippet_2,annotator1_verdict,annotator2_verdict,annotator2_notes
migINRc0FZrlbIta1QQ9,email,beck-s_sap,assumptions,The Aug 29-31 offsite meeting will primarily focus on financials and procurement.,"Melissa Becker
08/01/2000 01:40 PM
cc: Elise Clark/Corp/Enron@ENRON, Mark Frank/HOU/ECT@ECT 

I am happy to report that, because so many people wanted to bring a ""first 
lieutenant"", Rick and Cindy have agreed to put the primary focus of the Aug 
29-31 offsite on financials and procurement, with enough HR representation to 
cover some of the broad strategic issues that cross multiple functional 
areas.   

Consequently, Elise and Mike will be able to attend.   More information on 
logistics to follow within two weeks.   We will block off hotel rooms, etc.  in 
the meantime.   

As with the last ASE, it's an ""all or nothing"" proposition.   Because of the 
structure of the event, participants must be there from start to finish (no 
partial attendance).",,SUPPORTS,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,A comprehensive electricity trading decision support system based on market fundamentals is built .,"Use advanced statistical analysis software, such as S-Plus, to perform 
exploratory data analysis on topical trading issues, including supply and 
demand anomalies and price movement. 
Build a comprehensive electricity trading decision support system based on 
market fundamentals. 

Settlements
This group is responsible for settling physical wholesale transactions with 
the California ISO and the California PX.   The group's primary function is to 
estimate revenues and expenses based on scheduled volumes, settle with the 
ISO based on actual volumes, and provide the accounting support to reconcile 
differences between scheduled and actual volumes.",,SUPPORTS,,
ltjm9ipbINt57ec2xqqT,transcript,ES2006a,assumptions,The project aims for a profit of 50 million Euros.,"We've got um we're planning to sell these remote controls for let's make that go away , that means we've got five minutes .  Um we're planning to sell the remote controls for twenty five Euros each .  Um and with that we're aiming for a profit of fifty million Euros . 
C: And that's selling them on the international market , not just in the U_K_ .  Um so to do that our finance people estimate that we need production costs of maximum twelve and a half Euro so that we can reach that profit target . 
C: So that's something to keep in mind while you're designing . 
C: Okay . 
C: Hmm . 
C: This is let me just skip ahead to see that's the last thing , okay .  We've only got a couple of minutes .",,SUPPORTS,,
vWsJUhMbOBV6ZerjNWVr,transcript,IS1000a,functionalReqs,The remote control must provide the expected core functionalities typical of a remote control.,"B: Um , maybe someone can mention some additional uh prerequisites for Mm-hmm a good .  remote control . 
C: Of course it should have a on off button .  Mm-hmm .  Yes , well i it should have the the the the expected functionality Mm .  uh of a remote control .  Yeah Yeah .  , s and it depends what application you are using it for Mm .  .  You might need uh We wer we were thinking television .  Uh Mm .  .  We are targ targeting the television set .  So Mm .  , you need to record the channels Yeah .  Mm-hmm .  .  You need to browse the browse the channels in upward Yes downward Mm way .  , yes , .  Th th that's very handy I I always miss it and on Uh some remote controls that And you can go channel up or down ins instead of Mm .  retyping the number , especially Mm .",,SUPPORTS,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,Each employee receives a home computer through the ClickAtHome program .,"With that in mind, we are excited to let you know that we are introducing t=
he=20
ClickAtHome
program, which will give each employee a computer for use at home.  Where=20
technology permits, we will also subsidize an Internet connection.  With the=
=20
click of a mouse, a home computer plus Internet access will put a world of=
=20
Internet knowledge at your family=01,s fingertips.  =20

We have just signed an agreement with Dell Computer Corporation to provide=
=20
the computer hardware.  We wanted to let you know about the program now in=
=20
case you and your family were considering the purchase or upgrade of a home=
=20
computer or Internet connection in the next few months.  The scope of=20
ClickAtHome includes the following:

?",,SUPPORTS,,
sqRx9RkfySlMlfYixWUW,email,scott-s_msap_info,successMetrics,"New business models, patterned after successful models in Calgary and Portland, achieve comparable success .","With these objectives in mind, patterned after the successful business mode=
ls=20
in Calgary and Portland, effective immediately the following changes are=20
being implemented:
a) East Power =01) a single East Power Team incorporating trading, mid-mark=
et=20
and origination will be formed under the co-leadership of Kevin Presto and=
=20
Janet Dietrich who will report to the Enron Americas - Office of the Chairm=
an=20
(EA OOC).   This team will have one income statement, one book and a joint=
=20
accountability.  However, a clear delineation of responsibilities inside the=
se=20
teams will continue to exist in which the trading organization will manage=
=20
the risk, income statement and product development aspects of the=20
partnership.",,PARTIALLY,,
XsltA1aoKFMDvQXBSFxa,transcript,ES2002b,functionalReqs,The user interface design must be restricted to avoid excessive complexity.,"Well well a worry that was was expressed in the new requirements was that if we made this too complex it would e it would effect um how long how long it took us to get this to market , so I th suspect it might be a good idea just to restrict our kind of our creative influence on this on the user interface and not worry so much about uh how we transmit it A: Yep .  B: um because I mean it it's tried and tested intra-red , so A: There might B: we A: be B: could A: one B: stay with tha A: other problem with the transmission , um in particular right now , since we're talking about voice recognition .  Um if somebody's gonna h talk to the device , you ideally B: Mm-hmm A: want them to hold it to them B: Oh A: .  I it D: Right B: , yeah D: .  A: you may B: .",,SUPPORTS,,
lDCnWQwFdcbp5xsURA4A,transcript,ES2003a,functionalReqs,The product shall deliver a core set of basic functionalities .,"B: got a couple of ideas , we can we'll have to work fast , um , alright as you can see we've got thirty minutes until the next meeting , so we'll have to try and decide on some of the basic functionality , um , how the user interface might work , that'll be a key aspect especially if the idea of um some kind of macros facility because you have to program it , you have to have a lot of response back , or at least some kind A: Mm-hmm .  B: .  Um And we're gonna maybe n try and have to figure out C: What the user wants B: what C: uh B: the user C: .  B: wants , yes C: Okay .  B: .  Um , right .  Has anybody got anything they'd like to add at this stage , anything they think that might have been missed so far ?",,PARTIALLY,,
XsltA1aoKFMDvQXBSFxa,transcript,ES2002b,nfrReqs,The signal transmission range is constrained by the selected power source.,"Um and that power source is important because it ties you down to um how long the device will last B: Uh-huh .  A: .  Um it ties you down perhaps a bit later on in terms of the technologies um how far you can transmit the signal or the complexity of the functions D: Mm-hmm A: that D: .  A: you want .  Like for example , voice recognition , right .  That might be constrained because that you might need to power a microphone , you might need to power other things , so that's one perhaps constraint there .  Um Th Okay , the basic thing is there's a user interface where people punch a button or talk into it or smile to it or blink their eyes , whatever B: Hmm .  A: .",,SUPPORTS,,
WTlK8oZueIr7dJzUAYQC,email,hayslett-r_projects,nfrReqs,The system should aim to achieve an estimated savings of 20% on travel costs.,"ClickTrip provides employees easy access to all travel and pricing options for their destination (excluding proprietary carriers) and assists employees in making the most cost-effective travel decisions by providing the most current information.   In addition to bringing an estimated savings of 20%, ClickTrip is easy to use and is accessible 24 hours a day from any internet-enabled personal computer.   After-hours telephone support is also available. 

When making travel reservations, please purchase non-refundable coach tickets when flying in the U. S. , for these tickets can cost up to 65% less than refundable tickets and can usually be changed, if necessary, for a $100 fee. 

?",,PARTIALLY,,
