thread_id,brd_id,thread_subject,algo_overall,algo_completeness,algo_consistency,algo_clarity,algo_evidence,brd_preview,completeness_score,clarity_score,consistency_score,evidence_score,human_score,human_notes
T01,41280953aqbNq1InFdaL,Infrastructure Projects,55,70,35,55,60,"[assumptions] Assumptions  The project may involve a bypass, requiring a Prior Notice or a bypass agreement from the load-serving group.  The project will fit within FERC's new regulations under the Automatic Blanket requirements, as its scope involves building a new delivery point.  The City of Farmington has agreed to fund construction with a $70MM bond. [SOURCE:3, 5] Outtake power will be sold both locally and on the grid using a proximate TriStates 69kv transmission line. [SOURCE:3, 5] Pemex will execute a firm binding contract for a quantity of capacity sufficient to earn a reasonable rat",,,,,,
T02,ovX1nDEyLpadxkRaDx03,Enron Online Access Management,61,45,92,88,20,"[assumptions] Assumptions  1.  All requirements referenced in this BRD are formally documented and accessible within a centralized requirement management system.  2.  Each requirement is uniquely identifiable by an alphanumeric ID (e.g., 000000000007641), allowing for precise tracking and cross-referencing.  3.  The project team has the necessary access and authorization to review the detailed specifications associated with each requirement ID, such as 'MyReq'.  [functionalReqs] functionalReqs  FR.1 The system shall acknowledge user requests.  FR.2 The system shall identify each request with a",,,,,,
T03,q4MOzMuVBBAVMnEr50FZ,SAP ERP System Rollout,70,55,65,70,90,"[assumptions] Assumptions  The decision related to this project will be finalized by February 28.  SAP development for Energy Operations will be completed and signed off by September 18.  The SAP integration will provide increased flexibility for charging employee and contractor time to specific projects and cost centers in real time.  The primary focus of the August 29-31 offsite meeting will be on financials and procurement.  Corporate policy no longer requires intercompany settlements to involve cash movement.  Converting to SAP AR will simplify the Unify/SAP interface, eliminating the need",,,,,,
T04,lyp7Fg5G1g2afJSzmUwc,McKinsey Consulting Project,64,55,90,70,40,"[assumptions] Assumptions  Retail competition for smaller customers will not be in place before 2002.  A clear regulatory bill is necessary to open the market to competition and stimulate investment.  Independent Power Producers (IPPs) have historically operated on a Build-Own-Operate (B-O-O) basis.  Market choice will remain limited to large industrial customers, representing 10% of the market.  The Fox administration in Mexico will revive electricity reform without privatization, focusing on market opening.  A second tranche will occur in 2001.  A power pool mechanism will be operational by",,,,,,
T05,hzTm0zCha2kqPBgzlQzw,Project Stanley,66,50,95,90,30,"[assumptions] Assumptions  1.  All press inquiries will be directed to Eric Thode, and a basic statement will be used unless inquiries are specific and informed by knowledgeable industry participants.  2.  Copyrighted material obtained will only be used for internal review and analysis.  3.  Enron Canada will not agree to participate in any coalition with TransAlta unless and until TransAlta discontinues its lawsuit concerning the interpretation of two swap transactions. [SOURCE:3, SOURCE:5] 4.  ECT is not required to immediately provide a total quantum when filing a claim; the policy requires",,,,,,
T06,fsp8y9Cuz7p7meLBYvFD,MSAP Trading Platform,60,50,95,75,20,"[assumptions] Assumptions  The project assumes adherence to the specified timing for equipment delivery and Internet connection: U.S. employee sign-up will commence in early 2001, with subsequent equipment and Internet connection delivery, while non-U.S. employee delivery is targeted for late 2001.  The project assumes that the ClickAtHome program will include a basic package consisting of a Dell desktop computer with a high-speed processor, floppy disk drive, mouse, speakers, monitor, modem, CD-ROM drive, and Windows 2000 software, with an option for employees to receive a subsidized Internet",,,,,,
T07,aKWgUsxkVJxIq54FFqGi,California Energy Project,53,70,85,50,5,"[assumptions] Assumptions  Project stakeholders will provide feedback and comments on the document by Friday morning (Houston time) to allow for integration over the weekend and enable an early next-week dispatch.  The organization must be prepared to respond to a potential sale of assets in South America before an actual transaction occurs, even if this scenario is considered unlikely.  A draft press release for Ken Lay and a set of generic Q&As are adequate initial preparatory materials for addressing a potential asset sale scenario.  All necessary data, including names, addresses, phone, fa",,,,,,
T08,VhoBX1PYYmTDPD8FBGB1,SAP Technical Architecture,56,45,95,60,25,"[assumptions] Assumptions  1. Corporate Accounts Payable in Houston will not issue checks between June 16th and July 5th due to the SAP transition. [SOURCE:1,15] 2. Specific deadlines for financial entries (e.g., recurring entries, AP transactions, G&A entries, Project System settlement, depreciation) will be adhered to based on the workday schedule. [SOURCE:2,4] 3. Workstation setups require selecting all bundled components from Net Works. [SOURCE:3,17] 4. Office supply requests must be made via the catalog; non-catalog requests will be rejected by Purchasing. [SOURCE:3,17] 5. Employees will",,,,,,
T09,nxvtnGNS6uYcWnedy2sU,TW Transactional Requirements,66,55,90,70,50,"[assumptions] Assumptions  Elizabeth will be available for discussions related to this project.  The CAS system is currently tracking comments related to operational capacity, and these comments may be stored in both the CAS and TMS systems. Tina Dunnaway (for CAS) and Hasan Kedwaii (for TMS) are the designated contacts for retrieving this data if required.  All necessary information, particularly nominated vs. scheduled data for the California border, will be consistently available for collection to ensure compliance.  Specific information concerning gas purchase and sales transactions filed",,,,,,
T10,pSGtFOIK2jocPJgOD3CD,Sundevil Pipeline Project,59,40,90,80,25,"[assumptions] Assumptions  1.  A third-party environmental contractor will be engaged to expedite the process, specifically for writing the Environmental Impact Statement (EIS) document and processing it with FERC Staff. [SOURCE:1,5] 2.  The project will involve activities encompassing environmental issues, socioeconomics, land use, soils, and geology.  3.  A formal plan will be developed to generate public support and proactively address environmental concerns, particularly given the project's location in an environmentally sensitive area like Flagstaff.  4.  Clearance will be obtained to acc",,,,,,
T11,9lKfCxIT65cTvQpjiK5F,weekend outage report for 5-18-01 through 5-21-01,60,60,70,65,50,"[assumptions] Assumptions  Cable management will be performed to comply with computer room standards. [SOURCE:1,3,4,5,6,9,11,12,15] The NT system will have no scheduled outages during the project period. [SOURCE:1,3,4,5,6,9,11,12,15] The OS/2 system will have no scheduled outages during the project period. [SOURCE:1,3,4,5,6,9,11,12,15] A DSS migration will occur on May 29, 2001, at 5:30:00 PM, impacting Corp, OTS, and ETS systems. [SOURCE:1,3,4,5,6,9,11,12,15] A scheduled outage for SITARA impacting CORP systems will occur from Saturday, May 19, 2001, at 2:00:00 PM CT through Sunday, May 20, 2",,,,,,
T12,rKZStMigjIhOet73wrAO,credit applicatiions in grms,55,50,20,90,95,"[assumptions] Assumptions  The GLOBAL RISK MONITORING SYSTEM (GRMS) will not be utilized as a commercial trading product, nor will its primary purpose be for commercial decision-making. Its primary function is to serve as a risk warehouse for Regulatory Asset Classification (RAC) due to current front office trading system deficiencies. [SOURCE:2,4]  All other project teams seeking to utilize our resources or queue must submit detailed requirements for evaluation and approval, or develop their initiatives using their own resources. [SOURCE:1,3]  The GRMS project is approved and will continue as",,,,,,
T13,0jI4FKBhQtsc4eBcS4mr,caithness big sandy llc,66,80,60,70,55,"[assumptions] Assumptions  1. The project schedule will be adhered to, including:    - Gas Turbine(s) ordered Westinghouse-Seimens in May 2000.     - Environmental Impact Statement (EIS) submitted in August 2000.     - Financing arranged by December 2000.     - EIS approval granted by March 2001.     - Construction begins April 2001.     - Testing begins July 2002.     - Commercial Operation commences November 2002.   2. The lateral pipeline route must be finalized and included in the Environmental Impact Statement (EIS) submission next month (August 2000). [SOURCE:3, 4, 7, 14]  3. The Arizona",,,,,,
