doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
0000 - gamma j,74,93,Customer must have item(s) in the shopping cart.,Add Item To Cart    Goal:  Customer adds item(s) in the cart    Actors:  Customer  System    Preconditions:   The customer must be logged-in on the system.,0.627,,,
0000 - gamma j,86,90,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer account must already be registered.,0.745,,,
0000 - gamma j,84,88,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person account must already be registered.,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,0.808,,,
0000 - gamma j,80,81,Actors:  Administrator  Weborder System    Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,Actors:  Administrator  Weborder System    GAMMA-J Web Store   33   Preconditions:  Administrator must be able to access the weborder system via a web browser with HTTPS.,0.883,,,
0000 - gamma j,88,89,Actors:  Sales Person  Weborder System    Preconditions:  Sales Person must be able to access the weborder system via a web browser with HTTPS.,Actors:  Customer  Weborder System    Preconditions:  Customer must be able to access the weborder system via a web browser with HTTPS.,0.947,,,
2001 - beyond,57,61,"If the au tomation thinks that for the current  situation a different pres entation may be more efficient, it may suggest an  adaptation that has to be agreed upon by the pilot.","In the case of self-adaptat ion, the pilot shall always be offered the  opportunity to overrule the adaptation.",0.597,,,
2001 - beyond,57,67,"If the au tomation thinks that for the current  situation a different pres entation may be more efficient, it may suggest an  adaptation that has to be agreed upon by the pilot.","Special interest will be given to the af orementioned issue that the adaptation should  leave the pilot in command, and should  be non-intrusive.",0.748,,,
2001 - beyond,31,33,For the User Interface Editor:  • The UI Editor should allow flexible creati on and modification of the user interface  of the Vetronics application.,"• The UI Editor should be ab le to communicate with the Vetronics hardware, to  download the developed UI to the Vetr onics system for real use.",0.756,,,
2001 - beyond,28,39,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to inte rprete and visualize the UI code generated by the UI Editor; so  a very important component in this,• The software structure of the firmw are should be suitable for adding a ‘UI- interpreter’ (to interpret and visualize t he UI code generated by the UI Editor).,0.927,,,
2001 - elsfork,24,25,Ti me stamped data shall be stamped with ‘last  updated date + time’ (UTC time).,The accuracy and resolution of the timestamp should be  at least 10 ms.,0.523,,,
2001 - elsfork,65,73,The values shall be available for display on operator HMI as well as for stor- age (databases).,Counters  shall be available for display on operator HMI as  well as for storage (databases).,0.744,,,
2001 - elsfork,16,65,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be available for display on operator HMI as well as for stor- age (databases).,0.792,,,
2001 - elsfork,16,58,The values shall be available for display on ope rator HMI as well as for storage (databases).,The values shall be ava ilable for display on operator HMI as well as for  storage (databases).,0.826,,,
2001 - elsfork,83,87,Transfer of data  in the buffers shall be carried out without syn- chronism with real-time.,Transfer of data in  the buffers shall be carried out without synchronism with real-time.,0.902,,,
2002 - sce api,10,32,These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,"During the assertion of Creset , Cclock  edges shall be forced regardless of the state of the  ReadyForCclock  inputs to the SceMiClockControl  macros.",0.542,,,
2002 - sce api,64,78,"4.3.3.3 Shutdown static void SceMi::Shutdown( SceMi *sceMi, SceMiEC *ec=NULL ); This is the destructor of the SCE-MI infrastructure object that must be called when connection to the  interface is to b",Destruction of all message input ports shall automatically  occur when the SceMi::ShutDown()  function is called.,0.693,,,
2002 - sce api,9,10,"This  SceMiClockPort  macro instance will, via a set of parameters, fully characterize a particular clock.",These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,0.792,,,
2002 - sce api,10,37,These two macros are mutually associated by the  ClockNum  parameter and every SceMiClockPort  macro must have a minimum of one  SceMiClockControl  macro associated with it.,Multi-Clock Alignment 4.1.5SceMiClockControl  Macro For every SceMiClockPort  macro instance there must be at least one counterpart SceMiClockControl   macro instance presumably encapsulated in a tran,0.824,,,
2002 - sce api,43,45,"In reacting to a ReadyForCclock of a  slower clock, the infrastructure must not prematurely disable posedges of other faster clocks that occur prior to the last possible uclock preceding the edge to b","In reacting to a  ReadyForCclockNegEdge of a slower clock, the infrastructure must not prematurely  disable negedges of other faster clocks that occur prior to the last possible uclock preceding the e",0.96,,,
2003 - pnnl,49,52,Sensed and fixed data used by the tool in performing automated diagnostics shall be stored to  permanent storage for post -analysis by the diagnostic process and viewing of the results.,"Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag",0.538,,,
2003 - pnnl,100,101,3.2.4  Output Processing   The automated diagnostic tool shall display and record diagnostic results.,"Diagnostic results to  be displayed to the user will be done so in a simple, g raphical and textual format.",0.605,,,
2003 - pnnl,68,72,3.2.2.8  Sensed data input to the tool shall be validated with respect to its expected  range of values.,Physical  Parameter  Engineering  Units for  Sensed Data   Temperature  Degrees F   Current  Amps     3.2.2.11  The tool shall associate with each continuous parameter one or more tolerances each  cor,0.524,,,
2003 - pnnl,54,55,The file shall be an ASCII text file  containing only columns delimited by a single ta b character or single comma.,The file shall begin with a  required header.,0.571,,,
2003 - pnnl,6,97,The tool will store the results of diagnostics for subsequent  retrieval and use.,"3.2.3.6  The tool shall monitor the  unit under diagnosis, either in real time or batch mode, for an indefinite  period of time or until input data are no longer available, and log diagnostic results ",0.576,,,
2003 - pnnl,93,184,"The  cooling tower fan may  be off when the  condenser pump is  running, but this should  not always be the case.","If the CT Fans Status = ""On"" and the Condenser Pumps Status = ""On,"" then CT Fans/Condenser Pumps Interlock OK/Not = ""OK"" If the CT Fans Status = ""Off"" and the Condenser Pumps Status = ""Off,"" then CT F",0.627,,,
2003 - pnnl,119,146,"3.5.1.1  The user interface shall consist of six windows:  Main window, configuration window, subsystems  window, condition window, diagnostic information window, and diag nostic history window.",3.5.1.17  The subsystems  window shall list subsystems monitored for a specific building and  summarizing the current diagnostic status of all monitored subsystems.,0.552,,,
2003 - pnnl,93,180,"The  cooling tower fan may  be off when the  condenser pump is  running, but this should  not always be the case.",The CHW Pumps should not operate unless at least one of the supply fans in an air handler served by these CHW Pumps is on.,0.573,,,
2003 - pnnl,6,7,The tool will store the results of diagnostics for subsequent  retrieval and use.,The tool will automate  diagnostic processes hitherto performed through a visual analysis of graphical data by a human expert.,0.595,,,
2003 - pnnl,91,183,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,The set of primary CHW pump should not operate unless at least one of the secondary CHW pumps served by this set of primary CHW pumps is on.,0.741,,,
2003 - pnnl,96,105,"Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag","Automated  Diagnostics    Version:           1.1   Software Requirements Specification    Date:  8/28/2003   Software Requirements Specification 1 -1.DOC   8/29/2003      Battelle Northwest, 2003  Pag",0.766,,,
2003 - pnnl,146,172,3.5.1.17  The subsystems  window shall list subsystems monitored for a specific building and  summarizing the current diagnostic status of all monitored subsystems.,3.5.1.39  The diagnostic indicators on the main window and subsystems window shall summarize  all diagnostic conditions associated with each entry in the window.,0.821,,,
2003 - pnnl,83,91,Secondary  chilled water pumps should  only operate when the  primary CHW pump is  operating.,Secondary chilled water  pumps should only  operate when the primary  CHW pump is operating.,1.0,,,
2004 - watcom,6,20,"No te that cod e  gene rator should creat e the undefined symbol _GLOB AL_OFFSET_ TABLE_ , if R_386_GOTPC   encountere d.","At th is tim e,  _GLOB AL_OFFSET_ TABLE_  sym bol should be defined  as well.",0.585,,,
